Name,Latitude,Longitude,Local_type
Complejo Deportivo Zona Sur,40.438003,-3.729208,Others
Centro Deportivo Municipal la Elipa,40.413939,-3.654216,Others
Instalación Deportiva Municipal Gimnasio Moscardó,40.437961,-3.674548,Others
Centro Deportivo Municipal Villaverde,40.356593,-3.686316,Others
Industrias del Cuarzo,40.443536,-3.678245,Others
Polideportivo Fernando Martín,40.28251,-3.800577,Others
Complejo Deportivo Zona Norte,40.450763,-3.729195,Others
Pistas de Padel polideportivo Concepcion,40.438825,-3.647406,Others
Frontón de San Cristóbal,40.339853,-3.69072,Others
Vita 10 Escuela de Padel,40.412903,-3.791583,Others
Madrid Río,40.396744,-3.712842,Others
Parque del Retiro,40.414494,-3.68332,Others
Madrid Río,40.394509,-3.702607,Others
Madrid Río,40.39104,-3.70091,Others
Madrid Río,40.407368,-3.723195,Others
Jardines de las Vistillas,40.412399,-3.714493,Others
Parque de Enrique Tierno Galván,40.391459,-3.680685,Others
Parque de la Montaña,40.423559,-3.717628,Others
Rosaleda del parque del Oeste,40.427961,-3.721874,Others
Jardines de la Virgen del Puerto,40.41643,-3.721523,Others
Casa de Campo,40.422383,-3.740673,Others
Parque Lineal del Manzanares,40.337916,-3.689088,Others
Pradera de San Isidro,40.399038,-3.724606,Others
Parque de las Siete Tetas,40.397525,-3.655556,Others
Madrid Río - Salón de Pinos,40.400449,-3.722664,Others
Dehesa de la Villa,40.45817,-3.720712,Others
Parque de la Quinta de la Fuente del Berro,40.424097,-3.661564,Others
Parque de la Arganzuela,40.398362,-3.707546,Others
Parque de Santander,40.441815,-3.70656,Others
Parque de Berlín,40.450426,-3.675721,Others
Puerta de Madrid de los Jardines del Buen Retiro,40.420795,-3.681858,Others
Jardines de el Buen Retiro,40.419537,-3.687677,Others
Cuesta de Moyano,40.409577,-3.691493,Others
Puerta de Murillo de los Jardines del Buen Retiro,40.412829,-3.688602,Others
Parque de Madrid,40.416668,-3.688675,Others
Parque Quinta de los Molinos,40.443433,-3.627907,Others
Parque de Atracciones de Madrid,40.411111,-3.749642,Others
Parque Juan Pablo II,40.455077,-3.626201,Others
Parque Juan Carlos I,40.460809,-3.605833,Others
Parque Madrid Río,40.420474,-3.70466,Others
Parque de Roma,40.416427,-3.662581,Others
Parque Forestal Fuente Carrantona,40.410584,-3.628595,Others
Puerta de España de los Jardines del Buen Retiro,40.416709,-3.688624,Others
